OTU,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,Order,Family,Genus,Species
6c5323bf619d803a3f6b4bd3456d1ef2c7d67cf8,1.314450441,0.671533187,0.89180756,0.753002348,0.451448503,NA,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,unidentified,unidentified,unidentified
0fe2a939340c47fb2ebde5025291a86fe0adc0d0,3.923332416,0.777569784,0.761584626,1.020989339,0.30725949,0.641596859,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospira,s__Lachnospira rogosae
a08d311023035e3f90bb42387c44a6f61159b3bc,4.98169989,1.147093896,0.665515964,1.723615898,0.084777207,0.303078514,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__GCA-900066575,s__GCA-900066575 sp900066385
fb639f41062f005ad6215d9d4bd1baedc7862334,1.390222282,1.035123326,0.840923536,1.230936324,0.218346681,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Oscillibacter,s__Oscillibacter sp900115635
eafd6851cb478fed4d85de51fffb3e5993384107,85.52845,-0.803609475,0.52218025,-1.538950344,0.123816419,0.393461066,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger sp900540595
5aaf41c06c3b2d3a2488644f11ed18d03ba6aa30,5.640095375,-0.996550935,0.551381186,-1.807372032,0.070704292,0.266071413,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Evtepia,s__Evtepia gabavorous
24b6004290a044a02985f9331eb0ba6da1321502,2.641975301,0.054905244,0.699311597,0.078513275,0.937419771,0.973054584,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,unidentified
365a58354dd6e8b08cfc461a6bc1b0c506a03970,1.427542106,-0.354327011,0.753574399,-0.470195128,0.638215615,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia_A,unidentified
57d9eb561f4af8cf48538f66d2c2dccfb93400d6,16.61096041,0.900287086,0.384183237,2.343379407,0.019109939,0.097597188,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,unidentified
229a814b5c505c97f735e8f3167eb8f0f5ca7aad,31.04335275,-1.205056018,0.398328658,-3.025280742,0.002484024,0.025372535,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Bariatricus,s__Bariatricus comes
